,,,,,,,,,,,,
,Normalized Working Title,Working title (BL),Variant Title,NLP,Alias (in file-syst or generated),Country,Start Year,End Year,Copy already shared with Impresso,Start year in Impresso local copy,End year in Impresso local copy,Notes about local copy
287,The Sun & Central Press,Sun & Central Press,The Central Press.,0002262,SCPR,England,1873,1874,"Yes, fully",1873,1874,
288,The Sunday Evening Globe,Sunday Evening Globe,The Sunday Evening Globe.,0003015,SEGL,England,1836,1837,"Yes, fully",1836,1837,
289,The Sunday Morning Herald,Sunday Morning Herald,The Sunday Morning Herald.,0002993,SMHE,England,1824,1824,"Yes, fully",1824,1824,
649,The Sussex & Surrey Chronicle,Sussex & Surrey Chronicle,"The Sussex & Surrey Chronicle, or, Brighton, Lewes, Chichester, and Guildford Express",0004211,SSCH,,,,"Yes, not originally lsit",1823,1823,
423,The Tamworth Miners' Examiner and Working Men's Journal,Tamworth Miners' Examiner and Working Men's Journal,The Tamworth Miners' Examiner and Working Men's Journal.,0002615,TMEW,England,1873,1873,"Yes, fully",1873,1873,
424,The Tamworth Miners' Examiner and Working Men's Journal,Tamworth Miners' Examiner and Working Men's Journal,The Tamworth Examiner and Working Men's Journal.,0002616,TMEW,England,1873,1876,"Yes, fully",1873,1876,
636,The Tichborne Gazette,Tichborne Gazette,The Tichborne Gazette,0004193,TIGA,,,,"Yes, not originally lsit",1872,1875,
637,The Tichborne News and Anti-Oppression Journal,Tichborne News and Anti-Oppression Journal,The Tichborne News and Anti-Oppression Journal : A weekly newspaper advocating fair play for everyman,0004194,TNAJ,,,,"Yes, not originally lsit",1872,1872,
296,The Tower Hamlets Mail,Tower Hamlets Mail,The Tower Hamlets Mail.,0003108,THML,England,1857,1858,"Yes, fully",1857,1858,
300,The Trades' Free Press,Trades' Free Press,The Trades' Newspaper and Mechanics' Weekly Journal.,0002420,TFPR,England,1825,1827,"Yes, fully",1825,1827,
301,The Trades' Free Press,Trades' Free Press,The Trades' Free Press.,0002421,TFPR,England,1827,1828,"Yes, fully",1827,1828,
302,The Trades' Free Press,Trades' Free Press,"The Weekly Free Press of Trade, Manufactures, and Commerce.",0002422,TFPR,England,1828,1831,"Yes, fully",1828,1831,
303,The True Briton,True Briton,The True Briton.,0003026,TRBT,England,1801,1804,"Yes, fully",1801,1804,
304,The True Sun,True Sun,The True Sun.,0002590,TRSN,England,1832,1837,"Yes, fully",1832,1837,
305,The Union,Union,The Union.,0002994,TUNI,England,1857,1862,"Yes, fully",1857,1862,
306,The Universe,Universe,The Universe.,0002591,UNIV,England,1846,1848,"Yes, fully",1846,1848,
665,The Verulam,Verulam,"The Verulam : A scientific, literary, and political newspaper",0004687,VERL,,,,"Yes, not originally lsit",1828,1828,
307,The Vindicator,Vindicator (London),The Vindicator.,0003019,VIND,England,1859,1859,"Yes, fully",1859,1859,
308,The Warrington Examiner,Warrington Examiner,The Warrington Examiner.,0002597,WAEX,England,1869,1878,"Yes, fully",1869,1878,
406,The Warrington Examiner,Warrington Examiner,The Warrington Examiner.,0002597,WAEX,England,1869,1878,"Yes, fully",1869,1878,duplicate?
407,The Warrington Examiner,Warrington Examiner,The Warrington & Mid-Cheshire Examiner.,0002598,WAEX,England,1879,1879,"Yes, fully",1879,1879,Not separated in the data
486,The Warrington Examiner,Warrington Examiner,The Warrington & Mid-Cheshire Examiner,0002598,WAEX,England,1880,1904,"Yes, fully",1880,1904,Not separated in the data
487,The Warrington Examiner,Warrington Examiner,The Warrington & Mid-Cheshire Examiner,0002598,WAEX,England,1905,1909,"Yes, fully",1905,1909,
530,The Warwickshire Herald,Warwickshire Herald,The Warwickshire Herald.,0003051,WAHD,England,1884,1899,"Yes, fully",1884,1899,
309,The Watchman,Watchman,The Watchman.,0003002,WTCH,England,1827,1828,"Yes, fully",1827,1828,
323,The Week's News,Week's News (London),The Week's News,0002774,WKNW,England,1871,1879,"Yes, partially",1872,1879,
656,The Weekly Advertiser,Weekly Advertiser,The Weekly Advertiser,0004221,WKAD,,,,"Yes, not originally lsit",1865,1866,
478,The Weekly Chronicle,Weekly Chronicle (London),The Weekly Chronicle.,0002264,WKCH,England,1836,1851,"Yes, fully",1836,1851,
479,The Weekly Chronicle,Weekly Chronicle (London),The Weekly News and Chronicle.,0002265,WKCH,England,1851,1854,"Yes, partially",1852,1853,
480,The Weekly Chronicle,Weekly Chronicle (London),The Weekly Chronicle.,0002266,WKCH,England,1855,1855,"Yes, fully",1855,1855,
481,The Weekly Chronicle,Weekly Chronicle (London),The weekly chronicle and register.,0002267,WKCH,England,1855,1864,"Yes, fully",1856,1864,
482,The Weekly Chronicle,Weekly Chronicle (London),"The Weekly Chronicle and Register of Banking, Insurance, Railway and Mining Companies, Trade and Commerce.",0002268,WKCH,England,1864,1867,"Yes, fully",1864,1867,
655,The Weekly Echo,Weekly Echo,The Weekly Echo : An epitome of all the news of the week,0004220,WKEC,,,,"Yes, not originally lsit",1873,1874,
310,The Weekly Globe,Weekly Globe,The Weekly Globe.,0002991,WKGB,England,1824,1825,"Yes, fully",1824,1825,
654,The Weekly Independent,Weekly Independent,The Weekly Independent,0004218,WKIN,,,,"Yes, not originally lsit",1875,1876,
311,The Weekly Intelligence,Weekly Intelligence,The Weekly Intelligence.,0002412,WKIT,England,1818,1818,"Yes, fully",1818,1818,
522,The Weekly Journal,Weekly Journal (Hartlepool),The Weekly Journal,0002980,WKJL,England,1901,1904,"Yes, fully",1901,1904,
523,The Weekly Journal,Weekly Journal (Hartlepool),The Weekly Journal,0002980,WKJL,England,1905,1909,"Yes, fully",1905,1909,
312,The Weekly Mail,Weekly Mail (London),The Weekly Mail.,0002800,WKML,England,1858,1860,"Yes, fully",1858,1860,
658,The Weekly Review,Weekly Review,The Weekly Review,0004305,WKRV,,,,"Yes, not originally lsit",1862,1865,
659,The Weekly Review,Weekly Review,The London and Edinburgh Weekly Review,0004306,WKRV,,,,"Yes, not originally lsit",1865,1866,
660,The Weekly Review,Weekly Review,The Weekly Review : (The Weekly Review and Presbyterian Record.),0004307,WKRV,,,,"Yes, not originally lsit",1866,1881,
313,The Weekly Star and Bell's News,Weekly Star and Bell's News,The Star.,0002790,WSBN,England,1857,1857,"Yes, fully",1857,1857,"90: january/feb, 91:feb-may, 92: may-sept, 93: sept-dec, no overlaps"
314,The Weekly Star and Bell's News,Weekly Star and Bell's News,The Weekly Star and Bell's News.,0002792,WSBN,England,1857,1857,"Yes, fully",1857,1857,"90: january/feb, 91:feb-may, 92: may-sept, 93: sept-dec, no overlaps"
315,The Weekly Star and Bell's News,Weekly Star and Bell's News,The Weekly Star and Universal Messenger.,0002793,WSBN,England,1857,1857,"Yes, fully",1857,1857,"90: january/feb, 91:feb-may, 92: may-sept, 93: sept-dec, no overlaps"
316,The Weekly Star and Bell's News,Weekly Star and Bell's News ,The Weekly Star.,0002791,WSBN,England,1857,1857,"Yes, fully",1857,1857,"90: january/feb, 91:feb-may, 92: may-sept, 93: sept-dec, no overlaps"
627,The Wellington Gazette and Military Chronicle,Wellington Gazette and Military Chronicle,The Wellington Gazette and Military Chronicle,0004138,WGMC,,,,"Yes, not originally lsit",1869,1880,
324,The West End News,West End News,The West End News :,0003009,WENW,England,1859,1860,"Yes, fully",1859,1860,
325,The West London Times,West London Times,The West London Times.,0003249,WLTM,England,1860,1867,"Yes, fully",1860,1867,
327,The Westminster Times,Westminster Times,The Westminster Times.,0003250,WMTM,England,1863,1866,"Yes, fully",1863,1866,
440,The Weymouth Telegram,Weymouth Telegram,"The Weymouth, Portland and Dorchester Telegram.",0002981,WMTG,England,1860,1878,"Yes, fully",1860,1878,Not separated in the data
524,The Weymouth Telegram,Weymouth Telegram,"The Weymouth, Portland and Dorchester Telegram",0002981,WMTG,England,1874,1886,"Yes, fully",1874,1886,Not separated in the data
525,The Weymouth Telegram,Weymouth Telegram,The Telegram,0002982,WMTG,England,1886,1901,"Yes, fully",1886,1901,
664,The World,World,The World,0004685,WRLD,,,,"Yes, not originally lsit",1859,1859,
330,The World and Fashionable Sunday Chronicle,World and Fashionable Sunday Chronicle,The World and Fashionable Sunday Chronicle.,0003021,WFSC,England,1818,1818,"Yes, fully",1818,1818,
599,The York Herald,York Herald,The York Herald,0000186,YOHD,,,,"Yes, not originally lsit",1801,1811,
616,The York Herald,York Herald,"The York Herald, County and General Advertiser",0000497,YOHD,,,,"Yes, not originally lsit",1812,1813,
617,The York Herald,York Herald,The York Herald and General Advertiser,0000498,YOHD,,,,"Yes, not originally lsit",1814,1854,
618,The York Herald,York Herald,The York Herald,0000499,YOHD,,,,"Yes, not originally lsit",1855,1889,
619,The York Herald,York Herald,The Yorkshire Herald and the York Herald,0000500,YOHD,,,,"Yes, not originally lsit",1890,1900,
297,Town & Country Daily Newspaper,Town & Country Daily Newspaper,Town & Country Daily Newspaper.,0002386,TCDN,England,1873,1873,"Yes, fully",1873,1873,
642,Town and Country Advertiser,Town and Country Advertiser,Town and Country Advertiser,0004204,TCAA,,,,"Yes, not originally lsit",1834,1834,predecessor of 0002995?
643,Town and Country Advertiser,Town and Country Advertiser,The General Advertiser and Town and Country Price Current,0004205,TCAA,,,,"Yes, not originally lsit",1834,1834,predecessor of 0002995?
644,Town and Country Advertiser,Town and Country Advertiser,The General Advertiser for Town and Country,0004206,TCAA,,,,"Yes, not originally lsit",1834,1836,
645,Town and Country Advertiser,Town and Country Advertiser,The General Advertiser and Literary Varieties for Town & Country,0004207,TCAA,,,,"Yes, not originally lsit",1836,1836,
646,Town and Country Advertiser,Town and Country Advertiser,The General Advertiser and London Journal,0004208,TCAA,,,,"Yes, not originally lsit",1836,1836,
298,Town Talk,Town Talk,Town Talk.,0002592,TTLK,England,1858,1859,"Yes, fully",1858,1859,
667,Town Talk 1822,Town Talk (1822),Town Talk,0004692,TTK22,,,,"Yes, not originally lsit",1822,1822,
668,Town Talk 1822,Town Talk (1822),Town Talk & Observer of the Times,0004693,TTK22,,,,"Yes, not originally lsit",1822,1822,
299,Trade Protection Record,Trade Protection Record,"Trade Protection Record (London, England : 1849)",0002419,TPRD,England,1849,1850,"Yes, fully",1849,1850,
317,Weekly Times,Weekly Times (London),Weekly Times.,0002779,WKTN,England,1826,1829,"Yes, fully",1826,1829,
318,Weekly Times,Weekly Times (London),The Liberal.,0002780,WKTN,England,1829,1829,"Yes, fully",1829,1829,
319,Weekly Times,Weekly Times (London),Weekly Times.,0002781,WKTN,England,1830,1833,"Yes, partially",1830,1832,
320,Weekly True Sun,Weekly True Sun,Weekly True Sun.,0002380,WKTS,England,1833,1839,"Yes, fully",1833,1839,
321,Weekly True Sun,Weekly True Sun,The Statesman :,0002381,WKTS,England,1840,1841,"Yes, fully",1840,1841,
322,Weekly True Sun,Weekly True Sun,The British Queen and Statesman.,0002382,WKTS,England,1841,1843,"Yes, fully",1841,1843,
326,West Londoner and Select Advertiser for the Borough of Marylebone,West Londoner,West Londoner and Select Advertiser for the Borough of Marylebone :,0004132,WLSA,England,1870,1872,"Yes, fully",1870,1872,
581,Western Mail,Western Mail,Western Mail,0000104,WMCF,,,,"Yes, not originally lsit",1869,1900,
386,Westminster Journal and Old British Spy,Westminster Journal and Old British Spy,Westminster Journal and Old British Spy. (31 Aug./7 Sept.1805 - 22/29 Dec.1810),0002269,WJBS,England,1805,1810,"Yes, fully",1805,1810,
328,Whitehall Evening Post,Whitehall Evening Post,Whitehall Evening Post,0002776,WHEP,England,1801,1801,"Yes, fully",1801,1801,
410,Widnes Examiner,Widnes Examiner,Widnes Examiner.,0002601,WDEX,England,1876,1879,"Yes, fully",1876,1879,Not separated in the data
488,Widnes Examiner,Widnes Examiner,Widnes Examiner,0002601,WDEX,England,1880,1904,"Yes, fully",1880,1904,Not separated in the data
489,Widnes Examiner,Widnes Examiner,Widnes Examiner,0002601,WDEX,England,1905,1920,"Yes, fully",1905,1920,
329,Wooler's British Gazette,Wooler's British Gazette,Wooler's British Gazette,0002762,WBGZ,England,1819,1823,"Yes, fully",1819,1823,
54,Wrexham Advertiser,Wrexham Advertiser,Wrexham Weekly Advertiser,0000185,WRWA,Wales,1854,1857,"Yes, fully",1854,1857,
615,Wrexham Advertiser,Wrexham Advertiser,Wrexham Advertiser,0000496,WRWA,,,,"Yes, not originally lsit",1858,1900,
55,Y Genedl Gymreig,Y Genedl Gymreig,Y Genedl Gymreig,0000059,GNDL,Wales,1877,1900,"Yes, fully",1877,1900,
56,Y Goleuad,Y Goleuad,Y Goleuad,0000058,GLAD,Wales,1869,1900,"Yes, fully",1869,1900,
628,York House Papers,York House Papers,"York House Papers: A weekly journal for the families of the Army, Navy, and auxiliary forces",0004139,YOHP,,,,"Yes, not originally lsit",1879,1881,
